Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
297,James Milner,eng ENG,DFMF,Liverpool,36-325,1986,5.2,0,0,0,1.15,1.54,0,5.77,1.35,0.77,0,0,0,6.15,1.35,1.73,43.8,Matches,2f90f6b8
299,Tyrone Mings,eng ENG,DF,Aston Villa,29-257,1993,13,0.23,0,0,0.85,0.54,0.08,0.08,1.38,0.15,0.08,0,0.08,5.31,1.69,0.92,64.7,Matches,8397a50c
300,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-085,1999,10.9,0.18,0,0,0.73,0.64,0,1.56,0.73,1.01,0,0,0,6.06,0.92,1.1,45.5,Matches,5cbd1eb0
302,Aleksandar Mitrović,rs SRB,FW,Fulham,28-070,1994,11.3,0.35,0,0,1.15,1.33,0.8,0.18,0.09,0.35,0.18,0,0,2.83,5.49,4.87,53,Matches,3925dbd6
303,Kieffer Moore,wls WAL,FW,Bournemouth,30-109,1992,8.3,0,0,0,1.81,2.65,0,0.6,0,1.08,0,0,0,1.93,4.58,5.06,47.5,Matches,01ce9e70
304,Mason Mount,eng ENG,MFFW,Chelsea,23-319,1999,11.4,0.18,0,0,1.4,1.58,0,3.86,0.18,1.14,0,0,0,4.74,0.35,0.53,40,Matches,9674002f
306,João Moutinho,pt POR,MF,Wolves,36-078,1986,11.1,0.18,0,0,1.44,0.72,0.09,2.25,0.99,1.44,0,0,0,5.14,0.36,1.17,23.5,Matches,f5a00fa4
307,Jacob Murphy,eng ENG,FW,Newcastle Utd,27-274,1995,5.4,0,0,0,1.3,0.37,0,3.33,0.19,0.56,0,0,0,3.89,0.19,0.56,25,Matches,de112b84
309,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-180,1999,14.3,0.14,0,0,0.91,0.42,0,2.03,1.61,0.77,0,0,0,4.9,0.77,1.47,34.4,Matches,30d4a2e5
310,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-344,1996,7.1,0.28,0,0,1.55,0.42,0,0.14,1.97,1.69,0,0.14,0,9.44,0.7,0.99,41.7,Matches,6b47c5db
312,Neto,br BRA,GK,Bournemouth,33-129,1989,7.5,0.27,0,0,0,0.13,0,0,0,0,0,0,0,0.93,0.27,0.27,50,Matches,a9dc785c
313,Pedro Neto,pt POR,FWMF,Wolves,22-261,2000,6.7,0.15,0,0,0.75,1.04,0.3,6.72,0.45,0.9,0,0,0,5.22,0,0.45,0,Matches,7ba2eaa9
314,Rúben Neves,pt POR,MFDF,Wolves,25-257,1997,14,0.43,0,0,0.86,0.43,0,1,1.43,1.29,0,0,0,7.36,0.79,1,44,Matches,44bfb6c5
316,Rasmus Nissen,dk DEN,DF,Leeds United,25-137,1997,11.6,0.34,0,0,1.29,0.34,0.09,2.24,1.81,1.55,0,0,0,5,1.64,1.12,59.4,Matches,39769cff
318,Matheus Nunes,pt POR,MF,Wolves,24-090,1998,9.5,0.11,0,0,1.79,1.37,0,1.47,0.32,1.47,0,0.11,0,4.42,0.84,0.84,50,Matches,e6af02e0
319,Darwin Núñez,uy URU,FW,Liverpool,23-154,1999,6.7,0,0.15,0,1.34,0.6,1.04,1.04,0.3,0.15,0,0,0,2.84,2.09,3.13,40,Matches,4d77b365
322,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-042,1998,5.8,0.34,0,0,0.69,2.07,0,0.52,0.86,1.55,0,0,0,8.1,0.34,1.03,25,Matches,089667a5
324,Michael Olise,fr FRA,MFFW,Crystal Palace,20-348,2001,8.4,0.12,0,0,0.83,1.9,0.24,5.95,0.48,0.83,0,0,0,5.36,0.36,0.71,33.3,Matches,c4486bac
326,Amadou Onana,be BEL,MF,Everton,21-101,2001,11.5,0.35,0,0,1.91,1.83,0,0.17,0.87,2.26,0,0,0,5.13,2.09,2.43,46.2,Matches,828657ff
330,João Palhinha,pt POR,MF,Fulham,27-139,1995,13.9,0.36,0,0,1.08,1.29,0,0.14,0.94,2.73,0,0,0,5.11,2.01,0.94,68.3,Matches,a78ff07f
333,Lucas Paquetá,br BRA,MFFW,West Ham,25-090,1997,6.5,0.31,0,0,2.46,0.92,0.15,1.23,0.77,2.31,0,0,0,5.38,2.31,0.92,71.4,Matches,9b6f7fd5
334,Thomas Partey,gh GHA,MF,Arsenal,29-165,1993,10.7,0.09,0,0,0.93,0.47,0,0.09,1.31,1.31,0,0,0,8.04,1.21,1.03,54.2,Matches,529f49ab
335,Nathan Patterson,sct SCO,DFMF,Everton,21-040,2001,8.5,0.12,0,0,0.59,0.59,0.12,2,1.18,1.65,0,0,0,6,0.71,0.94,42.9,Matches,230f0471
