Player,Nation,Pos,Squad,Born,Gls,xGp90
Emiliano Marcondes,dk DEN,MF,Bournemouth,1995,0,0
Marquinhos,br BRA,MF,Arsenal,2003,0,0
Anthony Martial,fr FRA,FW,Manchester Utd,1995,4,0.62
Martinelli,br BRA,FW,Arsenal,2001,15,0.3
Emiliano Martínez,ar ARG,GK,Aston Villa,1992,0,0
Lisandro Martínez,ar ARG,DF,Manchester Utd,1998,1,0.02
Pape Matar Sarr,sn SEN,MF,Tottenham,2002,0,0.03
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,1997,2,0.4
Joël Matip,cm CMR,DF,Liverpool,1991,1,0.06
Neal Maupay,fr FRA,FW,Everton,1996,1,0.37
Kevin Mbabu,ch SUI,DFFW,Fulham,1995,0,0
Bryan Mbeumo,cm CMR,FW,Brentford,1999,6,0.28
James McArthur,sct SCO,MF,Crystal Palace,1987,0,0
John McGinn,sct SCO,MFFW,Aston Villa,1994,1,0.09
Scott McKenna,sct SCO,DF,Nott'ham Forest,1996,0,0
Weston McKennie,us USA,MF,Leeds United,1998,0,0.04
Dwight McNeil,eng ENG,FWMF,Everton,1999,4,0.07
Scott McTominay,sct SCO,MF,Manchester Utd,1996,1,0.1
Ben Mee,eng ENG,DF,Brentford,1989,3,0.07
Edouard Mendy,sn SEN,GK,Chelsea,1992,0,0
Nampalys Mendy,sn SEN,MF,Leicester City,1992,1,0.02
Chris Mepham,wls WAL,DF,Bournemouth,1997,0,0.03
Illan Meslier,fr FRA,GK,Leeds United,2000,0,0
Alexander Mighten,eng ENG,FW,Nott'ham Forest,2002,0,0
Luka Milivojević,rs SRB,MF,Crystal Palace,1991,0,0.06
James Milner,eng ENG,MFDF,Liverpool,1986,0,0.04
Yerry Mina,co COL,DF,Everton,1994,1,0.09
Tyrone Mings,eng ENG,DF,Aston Villa,1993,1,0.02
Tyrick Mitchell,eng ENG,DF,Crystal Palace,1999,0,0.02
Kaoru Mitoma,jp JPN,FW,Brighton,1997,7,0.25
Aleksandar Mitrović,rs SRB,FW,Fulham,1994,11,0.61
Kieffer Moore,wls WAL,FW,Bournemouth,1992,4,0.29
Andrew Moran,ie IRL,FW,Brighton,2003,0,0
Álex Moreno,es ESP,DF,Aston Villa,1993,0,0.04
Mason Mount,eng ENG,MFFW,Chelsea,1999,3,0.11
Lucas Moura,br BRA,MFDF,Tottenham,1992,0,0.06
João Moutinho,pt POR,MF,Wolves,1986,0,0.07
Divin Mubama,eng ENG,FW,West Ham,2004,0,0
Mykhailo Mudryk,ua UKR,FWMF,Chelsea,2001,0,0.22
Jacob Murphy,eng ENG,FW,Newcastle Utd,1995,3,0.16
Enock Mwepu,zm ZAM,FWMF,Brighton,1998,0,0.09
Vitaliy Mykolenko,ua UKR,DFMF,Everton,1999,0,0.02
Keylor Navas,cr CRC,GK,Nott'ham Forest,1986,0,0
Wilfred Ndidi,ng NGA,MFDF,Leicester City,1996,0,0.01
Reiss Nelson,eng ENG,FW,Arsenal,1999,3,0.58
Neto,br BRA,GK,Bournemouth,1989,0,0
Pedro Neto,pt POR,FWMF,Wolves,2000,0,0.12
Rúben Neves,pt POR,MF,Wolves,1997,6,0.18
Moussa Niakhate,sn SEN,DF,Nott'ham Forest,1996,0,0.04
Rasmus Nissen,dk DEN,DF,Leeds United,1997,2,0.04
Eddie Nketiah,eng ENG,FW,Arsenal,1999,4,0.65
Matheus Nunes,pt POR,MF,Wolves,1998,1,0.09
Darwin Núñez,uy URU,FW,Liverpool,1999,9,0.67
Ethan Nwaneri,eng ENG,FW,Arsenal,2007,0,0
Christian Nørgaard,dk DEN,MF,Brentford,1994,1,0.08
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,1998,1,0.05
Odeluga Offiah,eng ENG,DF,Brighton,2002,0,0
Angelo Ogbonna,it ITA,DF,West Ham,1988,0,0.03
Michael Olise,fr FRA,FWMF,Crystal Palace,2001,2,0.1
Robin Olsen,se SWE,GK,Aston Villa,1990,0,0
Amadou Onana,be BEL,MF,Everton,2001,1,0.12
Josh Onomah,eng ENG,MF,Fulham,1997,0,0
Paul Onuachu,ng NGA,FW,Southampton,1994,0,0.11
Frank Onyeka,ng NGA,MF,Brentford,1998,0,0.12
Mislav Oršić,hr CRO,MF,Southampton,1992,0,0
Dango Ouattara,bf BFA,MFFW,Bournemouth,2002,1,0.3
Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,1993,1,0.35
David Ozoh,,FW,Crystal Palace,2005,0,0
João Palhinha,pt POR,MF,Fulham,1995,3,0.08
Cole Palmer,eng ENG,FWMF,Manchester City,2002,0,0.04
Emerson Palmieri,it ITA,DF,West Ham,1994,1,0.06
Lucas Paquetá,br BRA,MF,West Ham,1997,4,0.2
Thomas Partey,gh GHA,MF,Arsenal,1993,3,0.09
Nathan Patterson,sct SCO,DFMF,Everton,2001,0,0.04
Ben Pearson,eng ENG,MF,Bournemouth,1995,0,0.01
Facundo Pellistri,uy URU,FWMF,Manchester Utd,2001,0,0
Andreas Pereira,br BRA,MF,Fulham,1996,4,0.25
Ricardo Pereira,pt POR,DFMF,Leicester City,1993,1,0.03
Ayoze Pérez,es ESP,MFFW,Leicester City,1993,0,0.27
Ivan Perišić,hr CRO,DFMF,Tottenham,1989,1,0.12
Romain Perraud,fr FRA,DF,Southampton,1997,2,0.06
Máximo Perrone,ar ARG,MF,Manchester City,2003,0,0
Kalvin Phillips,eng ENG,MF,Manchester City,1995,0,0.09
Nathaniel Phillips,eng ENG,DF,Liverpool,1997,0,0.06
Jordan Pickford,eng ENG,GK,Everton,1994,0,0
Ethan Pinnock,jm JAM,DF,Brentford,1993,2,0.1
Daniel Podence,pt POR,FWMF,Wolves,1995,6,0.19
Nick Pope,eng ENG,GK,Newcastle Utd,1992,0,0
Pedro Porro,es ESP,DFMF,Tottenham,1999,1,0.15
Dennis Praet,be BEL,MFFW,Leicester City,1994,1,0.15
Isaac Price,nir NIR,MF,Everton,2003,0,0
Christian Pulisic,us USA,FWDF,Chelsea,1998,1,0.16
Aaron Ramsdale,eng ENG,GK,Arsenal,1998,0,0
Jacob Ramsey,eng ENG,MFFW,Aston Villa,2001,4,0.13
Marcus Rashford,eng ENG,FW,Manchester Utd,1997,15,0.45
David Raya,es ESP,GK,Brentford,1995,0,0
Tim Ream,us USA,DF,Fulham,1987,1,0.01
Nathan Redmond,eng ENG,DF,Southampton,1994,0,0
Harrison Reed,eng ENG,MF,Fulham,1995,3,0.06
Bobby Reid,jm JAM,FWDF,Fulham,1993,4,0.15
Declan Rice,eng ENG,MF,West Ham,1999,3,0.07
Chris Richards,us USA,DF,Crystal Palace,2000,0,0.14
Richarlison,br BRA,MFFW,Tottenham,1997,0,0.27
Jaïro Riedewald,nl NED,DFFW,Crystal Palace,1996,0,0
Matt Ritchie,sct SCO,FWMF,Newcastle Utd,1989,0,0
Andrew Robertson,sct SCO,DF,Liverpool,1994,0,0.05
